iscanceled,leadtime,arrivaldateyear,arrivaldatemonth,arrivaldateweeknumber,arrivaldatedayofmonth,staysinweekendnights,staysinweeknights,adults,children,babies,meal,country,marketsegment,distributionchannel,isrepeatedguest,previouscancellations,previousbookingsnotcanceled,reservedroomtype,assignedroomtype,bookingchanges,deposittype,agent,company,daysinwaitinglist,customertype,adr,requiredcarparkingspaces,totalofspecialrequests,reservationstatus,reservationstatusdate,totalstay,res_year,res_month,res_day,res_weekday,pricepernight,adr_log
0,342,2015,July,27,1,0,0,2,0,0,BB       ,PRT,Direct,Direct,0,0,0,C               ,C               ,3,No Deposit     ,       NULL,       NULL,0,Transient,0.0,0,0,Check-Out,2015-07-01,0,2015,7,1,2,0.0,0.0
0,737,2015,July,27,1,0,0,2,0,0,BB       ,PRT,Direct,Direct,0,0,0,C               ,C               ,4,No Deposit     ,       NULL,       NULL,0,Transient,0.0,0,0,Check-Out,2015-07-01,0,2015,7,1,2,0.0,0.0
0,7,2015,July,27,1,0,1,1,0,0,BB       ,GBR,Direct,Direct,0,0,0,A               ,C               ,0,No Deposit     ,       NULL,       NULL,0,Transient,75.0,0,0,Check-Out,2015-07-02,1,2015,7,2,3,75.0,4.330733340286331
0,13,2015,July,27,1,0,1,1,0,0,BB       ,GBR,Corporate,Corporate,0,0,0,A               ,A               ,0,No Deposit     ,        304,       NULL,0,Transient,75.0,0,0,Check-Out,2015-07-02,1,2015,7,2,3,75.0,4.330733340286331
0,14,2015,July,27,1,0,2,2,0,0,BB       ,GBR,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,        240,       NULL,0,Transient,98.0,0,1,Check-Out,2015-07-03,2,2015,7,3,4,98.0,4.59511985013459
0,0,2015,July,27,1,0,2,2,0,0,BB       ,PRT,Direct,Direct,0,0,0,C               ,C               ,0,No Deposit     ,       NULL,       NULL,0,Transient,107.0,0,0,Check-Out,2015-07-03,2,2015,7,3,4,107.0,4.68213122712422
0,9,2015,July,27,1,0,2,2,0,0,FB       ,PRT,Direct,Direct,0,0,0,C               ,C               ,0,No Deposit     ,        303,       NULL,0,Transient,103.0,0,1,Check-Out,2015-07-03,2,2015,7,3,4,103.0,4.6443908991413725
1,85,2015,July,27,1,0,3,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,        240,       NULL,0,Transient,82.0,0,1,Canceled,2015-05-06,3,2015,5,6,2,82.0,4.418840607796598
1,75,2015,July,27,1,0,3,2,0,0,HB       ,PRT,Offline TA/TO,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,         15,       NULL,0,Transient,105.5,0,0,Canceled,2015-04-22,3,2015,4,22,2,105.5,4.66814498514948
1,23,2015,July,27,1,0,4,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,E               ,E               ,0,No Deposit     ,        240,       NULL,0,Transient,123.0,0,0,Canceled,2015-06-23,4,2015,6,23,1,123.0,4.820281565605037
0,35,2015,July,27,1,0,4,2,0,0,HB       ,PRT,Online TA,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,        240,       NULL,0,Transient,145.0,0,0,Check-Out,2015-07-05,4,2015,7,5,6,145.0,4.983606621708336
0,68,2015,July,27,1,0,4,2,0,0,BB       ,USA,Online TA,TA/TO,0,0,0,D               ,E               ,0,No Deposit     ,        240,       NULL,0,Transient,97.0,0,3,Check-Out,2015-07-05,4,2015,7,5,6,97.0,4.584967478670572
0,18,2015,July,27,1,0,4,2,1,0,HB       ,ESP,Online TA,TA/TO,0,0,0,G               ,G               ,1,No Deposit     ,        241,       NULL,0,Transient,154.77,0,1,Check-Out,2015-07-05,4,2015,7,5,6,154.77,5.048380560338514
0,37,2015,July,27,1,0,4,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,E               ,E               ,0,No Deposit     ,        241,       NULL,0,Transient,94.71,0,0,Check-Out,2015-07-05,4,2015,7,5,6,94.71,4.561322786207815
0,68,2015,July,27,1,0,4,2,0,0,BB       ,IRL,Online TA,TA/TO,0,0,0,D               ,E               ,0,No Deposit     ,        240,       NULL,0,Transient,97.0,0,3,Check-Out,2015-07-05,4,2015,7,5,6,97.0,4.584967478670572
0,37,2015,July,27,1,0,4,2,0,0,BB       ,PRT,Offline TA/TO,TA/TO,0,0,0,E               ,E               ,0,No Deposit     ,          8,       NULL,0,Contract,97.5,0,0,Check-Out,2015-07-05,4,2015,7,5,6,97.5,4.590056548178043
0,12,2015,July,27,1,0,1,2,0,0,BB       ,IRL,Online TA,TA/TO,0,0,0,A               ,E               ,0,No Deposit     ,        240,       NULL,0,Transient,88.2,0,0,Check-Out,2015-07-02,1,2015,7,2,3,88.2,4.490881039585964
0,0,2015,July,27,1,0,1,2,0,0,BB       ,FRA,Corporate,Corporate,0,0,0,A               ,G               ,0,No Deposit     ,       NULL,        110,0,Transient,107.42,0,0,Check-Out,2015-07-02,1,2015,7,2,3,107.42,4.686012573832192
0,7,2015,July,27,1,0,4,2,0,0,BB       ,GBR,Direct,Direct,0,0,0,G               ,G               ,0,No Deposit     ,        250,       NULL,0,Transient,153.0,0,1,Check-Out,2015-07-05,4,2015,7,5,6,153.0,5.0369526024136295
0,37,2015,July,27,1,1,4,1,0,0,BB       ,GBR,Online TA,TA/TO,0,0,0,F               ,F               ,0,No Deposit     ,        241,       NULL,0,Transient,97.29,0,1,Check-Out,2015-07-06,5,2015,7,6,0,48.645,4.587922292578538
0,72,2015,July,27,1,2,4,2,0,0,BB       ,PRT,Direct,Direct,0,0,0,A               ,A               ,1,No Deposit     ,        250,       NULL,0,Transient,84.67,0,1,Check-Out,2015-07-07,6,2015,7,7,1,28.223333333333333,4.4505027059759525
0,72,2015,July,27,1,2,4,2,0,0,BB       ,PRT,Direct,Direct,0,0,0,D               ,D               ,1,No Deposit     ,        250,       NULL,0,Transient,99.67,0,1,Check-Out,2015-07-07,6,2015,7,7,1,33.223333333333336,4.611847840741332
0,127,2015,July,27,1,2,5,2,0,0,HB       ,GBR,Offline TA/TO,TA/TO,0,0,0,D               ,I               ,0,No Deposit     ,        115,       NULL,0,Contract,94.95,0,1,Check-Out,2015-07-01,7,2015,7,1,2,31.650000000000002,4.563827222453709
0,78,2015,July,27,1,2,5,2,0,0,BB       ,PRT,Offline TA/TO,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,          5,       NULL,0,Transient,63.6,1,0,Check-Out,2015-07-08,7,2015,7,8,2,21.2,4.168214410788556
0,48,2015,July,27,1,2,5,2,0,0,BB       ,IRL,Offline TA/TO,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,          8,       NULL,0,Contract,79.5,0,0,Check-Out,2015-07-08,7,2015,7,8,2,26.5,4.388257184424518
1,60,2015,July,27,1,2,5,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,E               ,E               ,0,No Deposit     ,        240,       NULL,0,Transient,107.0,0,2,Canceled,2015-05-11,7,2015,5,11,0,35.666666666666664,4.68213122712422
0,77,2015,July,27,1,2,5,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,        240,       NULL,0,Transient,94.0,0,0,Check-Out,2015-07-08,7,2015,7,8,2,31.333333333333332,4.553876891600541
